cve_ageb,transit_demand,accessibility_score,coverage_gap_raw,coverage_gap_n,demand_quantile,access_quantile,gap_category
0100100012422,3659.161809371498,127385.0,0.02872499183090369,0.003064467489323779,3,5,Medium-gap
0100100012456,0.0,0.0,0.0,0.0,1,1,Medium-gap
0100100012460,2572.9663638893167,126335.0,0.020366058478100593,0.0021816289699199114,2,4,Low-gap
0100100012475,2137.362689241517,126335.0,0.016918081063525176,0.001815358014341326,2,4,Low-gap
0100100012494,7524.960000578384,118155.0,0.06368665155030963,0.0066808519377893035,5,3,Medium-gap
0100100012507,6841.434766076292,122665.0,0.055772869141215105,0.0058727795712219645,4,3,Medium-gap
0100100012511,3195.601233654021,125530.0,0.025456669935346815,0.0027201369040993364,3,4,Medium-gap
0100100012526,1440.546919759622,0.0,1440.546919759622,0.787047671187243,2,1,Medium-gap
0100100012564,6536.938108882903,127185.0,0.051396679735842804,0.005423324265213104,4,5,Medium-gap
0100100012579,7125.779127175744,126470.0,0.05634318639985249,0.005931216583752905,5,4,Medium-gap
0100100012583,6526.103135566527,127185.0,0.05131148975175355,0.005414556300486812,4,5,Medium-gap
0100100012598,5136.2658144224,128245.0,0.04005010537889992,0.004249207027289011,4,5,Medium-gap
0100100012600,5643.797944973105,128090.0,0.044060846936733296,0.0046656865345176945,4,5,Medium-gap
0100100012634,4836.096886274795,124245.0,0.03892356201628056,0.004131936676095237,4,4,Medium-gap
0100100012649,3236.7063593897137,125200.0,0.025852080729304987,0.0027618532972617203,3,4,Medium-gap
0100100012668,7236.729250677203,125865.0,0.05749550514576774,0.006049191610849935,5,4,Medium-gap
0100100012672,2701.6845632051563,126335.0,0.02138491453904791,0.0022896229026378935,3,4,Medium-gap
0100100012687,3601.3218918767507,124745.0,0.028869237425462546,0.0030796391137870712,3,4,Medium-gap
0100100012691,5784.746383601213,125710.0,0.0460162307483133,0.004868155795857704,4,4,Medium-gap
0100100012704,10182.83925396179,125730.0,0.08098908983434308,0.00842685238460215,5,4,Medium-gap
0100100012719,17123.767437842856,125355.0,0.13660109957116418,0.013855199653481443,5,4,Medium-gap
0100100012723,10522.693784904652,125355.0,0.0839424820902442,0.008722086462947002,5,4,Medium-gap
0100100012761,4017.850913487818,124280.0,0.03232876234893361,0.0034428730507045416,3,4,Medium-gap
0100100012780,5596.737082776216,126985.0,0.04407365444045971,0.004667013914550476,4,5,Medium-gap
0100100012795,8542.283562146738,127970.0,0.06675171376442114,0.006992209829666189,5,5,Medium-gap
0100100012808,8373.659401172492,125860.0,0.06653100961515078,0.006969819971521551,5,4,Medium-gap
0100100012812,7760.204177938048,126500.0,0.06134500263190052,0.006442375314882675,5,4,Medium-gap
0100100012831,3303.783298191636,116795.0,0.02828678463467615,0.0030183641914675392,3,2,Medium-gap
0100100012846,2338.513096199335,121005.0,0.01932559622001665,0.0020712335366086377,2,3,Medium-gap
0100100012850,8911.890706620017,124945.0,0.07132593845837415,0.007455212974818228,5,4,Medium-gap
0100100012865,7621.254239589164,125625.0,0.06066621749947594,0.0063731485687629815,5,4,Medium-gap
