cve_ageb,npp_score,equity_score,final_score,priority_rank,priority_quintile
1505400491171,0.5550220792837519,0.15663457760050994,0.4753445789471035,240,3
1505400010351,0.3192670202460089,0.0376580926713315,0.26294523473107345,524,1
1505400010510,0.4847137920012293,0.01658879289395645,0.39108879217977477,425,2
1505400410756,0.48902738627853853,0.19071975901413785,0.4293658608256584,360,2
1505400010737,0.5665466417086792,0.18816836723644853,0.49087098681423313,197,4
1505400010258,0.5123809481601397,0.17829437219475813,0.44556363296706336,317,3
1505400010281,0.4863910792116239,0.1926221559161237,0.42763729455252386,366,2
1505401061260,0.3987339496875617,0.01012070580609645,0.32101130091126867,505,1
1505500010058,0.6404454380423529,0.36209248235380714,0.5847748469046437,27,5
1505500010043,0.5518393446741998,0.2071037789740976,0.4828922315341794,225,3
1505500010062,0.5089256552794548,0.34854980582389117,0.47685048538834207,236,3
1506200010226,0.5215099855963794,0.20752672800966193,0.4587133340790359,289,3
1506200220067,0.5748445855218333,0.3706475104073699,0.5340051704989406,95,5
1506200220141,0.38178340440063463,0.5360598306468427,0.41263868964987627,389,2
1506200200279,0.3639073775276286,0.4799978691740781,0.3871254758569185,435,1
1506200010118,0.5045082040210769,0.37657861159344674,0.47892228553555083,234,3
1506200010211,0.47695735751631113,0.2077007770705232,0.4231060414271536,371,2
1506200010298,0.31060658989686646,0.39696793707052336,0.3278788593315979,499,1
1506200220160,0.3000277184522682,0.5333859588032909,0.3466993665224728,481,1
1506200230033,0.5564410936544573,0.34052813379619473,0.5132585016828047,147,4
1506200140315,0.4488412255093478,0.3590483278070739,0.43088264596889303,356,2
1506200220283,0.4411465418134587,0.5579727407419297,0.4645117815991529,272,3
1506200010194,0.5399371626153949,0.1983157068105123,0.47161287145441844,250,3
1506200200122,0.3577181229113797,0.4556233536665648,0.3772991690624168,453,1
1506200010245,0.4872352909578934,0.20522409904821326,0.4308330525759574,357,2
1506200010175,0.5433923023554791,0.20735332501921222,0.4761845068882257,238,3
1506200140300,0.4089815290160919,0.3643302124303227,0.4000512656989381,409,2
1506200200137,0.5588235238407798,0.5064500524428432,0.5483488295611926,73,5
1506200010207,0.5625850088071555,0.2054328973394448,0.4911545865136133,195,4
1506200200048,0.6279754515518076,0.5076081366232484,0.6039019885660957,13,5
1506200010264,0.3858628128408354,0.1995542663152241,0.34860110353571316,477,1
1506200010230,0.5475689586472304,0.364830125967914,0.5110211921113671,155,4
1506700050218,0.5641703181039855,0.3410279854641501,0.5195418515760185,125,4
1506700050222,0.42749175967723396,0.47700109872482505,0.43739362748675226,338,2
1506700130260,0.5033009814999291,0.362643522103685,0.4751694896206803,241,3
1506700150275,0.5415953881766411,0.34132603167936193,0.5015415168771853,169,4
1506700120186,0.6213731570855249,0.740446459054509,0.6451878174793217,3,5
1506700010203,0.5189891491835693,0.3474094118640765,0.48467320171967077,215,4
1506700010190,0.5566725820539393,0.208584878735764,0.4870550413903043,208,4
1506700140148,0.5842866427987198,0.6182123017728542,0.5910717745935467,21,5
1507200010078,0.4706174862903562,0.3221747008906301,0.440928929210411,327,2
1507200010097,0.36275643532768415,0.48485992942158207,0.38717713414646376,434,1
1507200010059,0.6155663713360824,0.32970136462230554,0.558393369993327,58,5
1507200010082,0.32796909721555045,0.3292054028240575,0.3282163583372519,498,1
1507200010063,0.588926435936341,0.3278534581264451,0.5367118403743618,91,5
1507200170114,0.5592151653786642,0.343386491259933,0.5160494305549179,140,4
1507600010378,0.39262717605618447,0.3818936382448011,0.39048046849390783,428,2
1507600010310,0.537275813579589,0.34902246762631917,0.49962514438893507,174,4
