route_id,modification_type,reason,current_score,proposed_score,overlap_route_id,detail
C102,shortcut,Route detour_ratio=1.86 > 1.5. Current route_km=47.6km; estimated shortcut=28.1km (straight_line_km=25.5km x 1.1).,0.1513918867497837,0.1676,,Replace detoured alignment with direct route between highest-demand endpoints (~28.1km).
C103,shortcut,Route detour_ratio=2.53 > 1.5. Current route_km=39.3km; estimated shortcut=17.1km (straight_line_km=15.5km x 1.1).,0.16556464989866537,0.2732,,Replace detoured alignment with direct route between highest-demand endpoints (~17.1km).
C104,shortcut,Route detour_ratio=27561.84 > 1.5. Current route_km=27.6km; estimated shortcut=0.0km (straight_line_km=0.0km x 1.1).,0.15574368889330195,0.3854,,Replace detoured alignment with direct route between highest-demand endpoints (~0.0km).
C105,shortcut,Route detour_ratio=2.53 > 1.5. Current route_km=26.7km; estimated shortcut=11.6km (straight_line_km=10.6km x 1.1).,0.1658523872068143,0.2916,,Replace detoured alignment with direct route between highest-demand endpoints (~11.6km).
C106,shortcut,Route detour_ratio=2.10 > 1.5. Current route_km=24.5km; estimated shortcut=12.8km (straight_line_km=11.7km x 1.1).,0.19886398272679062,0.2964,,Replace detoured alignment with direct route between highest-demand endpoints (~12.8km).
C107,shortcut,Route detour_ratio=1.60 > 1.5. Current route_km=18.7km; estimated shortcut=12.9km (straight_line_km=11.7km x 1.1).,0.23786092848314994,0.2863,,Replace detoured alignment with direct route between highest-demand endpoints (~12.9km).
C108,shortcut,Route detour_ratio=82767.58 > 1.5. Current route_km=82.8km; estimated shortcut=0.0km (straight_line_km=0.0km x 1.1).,0.13840101247323278,0.3884,,Replace detoured alignment with direct route between highest-demand endpoints (~0.0km).
C109,retire,"Route has low demand-gain (f1=0.002, score=0.284) with no high-scoring overlapping route. Consider service reduction or rerouting to higher-demand corridor.",0.28405347650587864,,,Reduce frequency or retire C109; reallocate vehicles to higher-demand routes.
C110-V1,shortcut,Route detour_ratio=1.55 > 1.5. Current route_km=21.8km; estimated shortcut=15.5km (straight_line_km=14.1km x 1.1).,0.20543476882394157,0.2581,,Replace detoured alignment with direct route between highest-demand endpoints (~15.5km).
C110-V2,merge,Route overlaps 67.7% of served AGEBs with C109 (Jaccard=0.68). Consolidation improves frequency without expanding coverage.,0.17501147312152635,,C109,Merge C110-V2 into C109; combine headways to improve service frequency.
