route_id,route_short_name,route_long_name,route_km,n_stops,straight_line_km,detour_ratio,connects_to_existing,n_served_agebs,f1_demand_gain,f2_route_km,f3_equity,composite_score,total_score,pareto_rank,feasible,flag,overlap_route_id
C48,C48,"Troncal C48 - 644A ""Tapatio""",10.0952496494728,37,7.62951735246642,1.323,True,17,0.016483634180137038,10.0952496494728,0.5664811578337396,0.3239768432262986,0.3239768432262986,1,False,,
C49-V1,C49-V1,"Troncal C49-V1 - 645 ""Arboledas""",14.11141069164309,82,6.905659004590007,2.043,True,29,0.0008844760531300706,14.11141069164309,0.5354878058585368,0.2671613384207385,0.2671613384207385,6,False,Redundant,C49-V2
C49-V2,C49-V2,"Troncal C49-V2 - 645 ""Topacio""",11.781777899482972,84,6.905659004590007,1.706,True,26,0.0009213555487368411,11.781777899482972,0.5554166534969905,0.2915940364272931,0.2915940364272931,5,False,Indirect,
C50-V1,C50-V1,"Troncal C50-V1 - 645 ""Chulavista - Aqua""",20.416212040766354,114,10.962611206302507,1.862,True,32,0.02508793510058492,20.416212040766354,0.609958754484489,0.25744252338198753,0.25744252338198753,1,False,Indirect,
C50-V2,C50-V2,"Troncal C50-V2 - 645 ""Villas de la Hacienda""",21.11346846312772,153,10.962611206302507,1.926,True,33,0.024582855650908928,21.11346846312772,0.6126949313452007,0.2518110179611448,0.2518110179611448,1,False,Redundant,C50-V1
C51-V2,C51-V2,"Troncal C51-V2 - 645A ""Cochinita""",14.491342958998018,87,6.905659004590007,2.098,True,31,0.0015109764426689885,14.491342958998018,0.5596014128963263,0.2706501383417671,0.2706501383417671,5,False,Indirect,
C53,C53,Troncal C53 - 19A,35.8358019481599,265,21.31068128265061,1.682,True,85,0.0011767396639288017,35.8358019481599,0.5571662020212779,0.14046829016924828,0.14046829016924828,10,False,Indirect,
C54,C54,Troncal C54 - 51C,30.818416077251516,200,21.26750184027787,1.449,True,68,0.002563872014062208,30.818416077251516,0.5740586885156578,0.14607854414297666,0.14607854414297666,6,False,Low demand,
C58-V1,C58-V1,"Troncal C58-V1 - 644B ""CU Tonala - Pajaritos""",20.680540136456063,35,16.756698254516373,1.234,True,41,0.01446513019729752,20.680540136456063,0.5558526104882971,0.23109044834890463,0.23109044834890463,5,True,Low demand,
C58-V2,C58-V2,"Troncal C58-V2 - 644B ""CU Tonala""",26.26355709879291,106,16.355323933180692,1.606,True,30,0.030932876734263853,26.26355709879291,0.5347786805272717,0.19576457104280753,0.19576457104280753,6,False,Indirect,
C60,C60,"Troncal C60 - 644B ""Santa Isabel""",22.03460087557742,90,13.387307923943224,1.646,True,40,0.005488355891726714,22.03460087557742,0.5697819368391291,0.21431216613836382,0.21431216613836382,5,False,Redundant,C58-V1
C61,C61,"Troncal C61 - 644B ""Santibañez - Emiliano Zapata""",11.617946304723585,75,6.322417461608865,1.838,True,19,0.009433749364685943,11.617946304723585,0.5969967077570469,0.3118667070979178,0.3118667070979178,1,False,Indirect,
C62,C62,"Troncal C62 - 644B ""Carril""",20.403523979906684,95,15.2687127234716,1.336,True,38,0.002255361918831924,20.403523979906684,0.5759191646377378,0.226205786579044,0.226205786579044,4,False,Low demand,
C64,C64,Troncal C64 - 27,33.84640410665609,133,22.977920346843668,1.473,True,73,0.005937615550049158,33.84640410665609,0.5567454103314987,0.14512396813292383,0.14512396813292383,6,False,Low demand,
C65,C65,Troncal C65 - 27A,27.35204427973631,136,19.78058915743049,1.383,True,58,0.0019215569601812568,27.35204427973631,0.5606786513670045,0.16415751747079643,0.16415751747079643,9,False,Low demand,
C66-V1,C66-V1,Troncal C66-V1 - 249,22.897158820126478,137,17.747920847080533,1.29,True,60,0.001491907414897108,22.897158820126478,0.5670541509194732,0.2024457883103781,0.2024457883103781,6,False,Low demand,
