cve_ageb,POBTOT,POB0_14,POB15_64,POB65_MAS,P_15A17,P_18A24,VPH_AUTOM,VIVPAR_HAB
1407000010100,2763,669,1871,203,146,351,466,751
1407000010115,2349,561,1627,161,129,322,410,648
140700001012A,1866,502,1284,80,116,257,260,518
1407000010134,3428,845,2392,185,195,418,524,949
140700001037A,273,82,175,16,11,21,39,81
1407000010384,1222,353,819,50,79,153,225,320
1407000010399,710,197,488,25,37,100,96,180
1407000010539,142,30,95,17,11,21,20,38
1407000010581,85,9,60,16,4,9,13,27
1407000010685,300,99,191,10,18,34,50,79
140700001069A,51,14,34,3,*,7,9,12
1407000010702,2580,817,1679,84,161,329,289,717
1407000010717,826,247,542,34,63,98,120,219
1407000010914,250,75,167,8,16,28,40,69
1407000010929,92,24,64,4,8,19,16,22
1407000011043,61,22,33,6,*,9,8,18
1407000011058,1176,393,763,20,73,127,135,341
1407000011062,26,5,20,*,*,3,6,7
