cve_ageb,IM_2020,GM_2020,IRS_2020,GRS_2020
1402300010261,119.8893524,Medio,19.6950444727,Medio
1402300010276,120.6437204,Medio,16.5680473373,Bajo
1402300010312,116.0383776,Alto,27.4193548387,Medio
1402300010327,122.7646875,Bajo,34.649122807,Bajo
1402300010331,119.2161374,Medio,23.1707317073,Medio
1402300010346,118.853089,Medio,12.9032258065,Medio
1402300010350,121.9597905,Bajo,36.3636363636,Medio
1402300010384,123.0435087,Bajo,16.4251207729,Bajo
1402300010420,120.6542923,Medio,24.6073298429,Medio
140230001044A,122.0616802,Bajo,26.8292682927,Bajo
1402300010454,114.594348,Muy alto,13.1578947368,Medio
1402300010469,121.2542962,Bajo,8.4745762712,Bajo
1402300010473,120.9770933,Medio,16.5714285714,Bajo
1402300010488,122.7665963,Bajo,11.9363395225,Bajo
1402300010492,120.7283239,Medio,17.8121974831,Bajo
1402300010505,121.3410141,Bajo,12.7144298688,Bajo
140230001051A,122.310265,Bajo,13.6054421769,Bajo
1402300010524,120.8278163,Medio,16.0,Medio
1402300010539,124.030643,Muy bajo,22.1105527638,Bajo
1402300010543,120.9071122,Medio,17.0103092784,Medio
1402300010562,123.4841205,Bajo,19.0476190476,Bajo
1402300010596,121.3173954,Bajo,18.6717998075,Bajo
1402300010609,123.9134452,Muy bajo,12.6649076517,Bajo
1402300010613,120.5897429,Medio,17.8151260504,Bajo
1402300010628,120.4791151,Medio,19.1489361702,Bajo
1402300010632,125.0367564,Muy bajo,8.0072793449,Muy bajo
1402300010647,124.0828218,Muy bajo,5.6555269923,Muy bajo
1402300010651,119.4266031,Medio,20.9677419355,Medio
1402300010670,125.4829733,Muy bajo,7.8864353312,Bajo
1402300010685,123.0073006,Bajo,13.0208333333,Muy bajo
140230001069A,125.3641602,Muy bajo,18.3962264151,Muy bajo
1402300010702,120.5184443,Medio,16.0377358491,Bajo
1402300010717,120.3713618,Medio,18.125,Bajo
1402300010721,119.4115306,Medio,25.1612903226,Medio
140230001076A,122.7149345,Bajo,13.5,Bajo
1402300010774,122.5732397,Bajo,15.3758542141,Bajo
1402300010789,126.3752445,Muy bajo,0.0,Muy bajo
1402300010810,121.418475,Bajo,17.6923076923,Bajo
1402300010882,123.10797,Bajo,17.2727272727,Bajo
1402300010897,123.130339,Bajo,16.0237388724,Bajo
1402400010080,122.0523074,Bajo,11.2605042017,Bajo
1402400010108,121.8382965,Bajo,14.4278606965,Bajo
1402400010112,121.9486509,Bajo,10.4719764012,Bajo
1402400010127,121.3578944,Bajo,13.691507799,Bajo
1402400010131,120.0541567,Medio,16.2251655629,Medio
1402400010146,121.5115545,Bajo,18.6246418338,Bajo
1402400010150,121.5014248,Bajo,21.3389121339,Medio
1402400010165,122.4452478,Bajo,12.7659574468,Bajo
1402400010199,120.3740387,Medio,21.8181818182,Medio
1402400010201,118.7298698,Medio,24.1809672387,Medio
1402400070269,120.2025033,Medio,20.9219858156,Medio
1402400070273,120.326689,Medio,25.5696202532,Medio
140250001011A,122.1881158,Bajo,16.0899653979,Bajo
1402500010139,122.4395999,Bajo,22.3506743738,Bajo
1402500010143,121.5584865,Bajo,16.852367688,Bajo
1402500010158,120.7586151,Medio,18.3745583039,Bajo
1402500010162,122.8210863,Bajo,18.2089552239,Bajo
1402500010177,121.1448534,Medio,33.3333333333,Medio
1402500010181,120.1717712,Medio,24.358974359,Bajo
1402500010213,121.7747127,Bajo,15.5988857939,Bajo
1402500010228,125.7063492,Muy bajo,7.4074074074,Muy bajo
1402500010247,121.4790801,Bajo,17.0212765957,Bajo
1402500010251,120.8024615,Medio,11.7647058824,Bajo
1402500010285,123.0821974,Bajo,10.2564102564,Bajo
1402600010051,118.7508906,Medio,11.2627986348,Medio
1402600010066,120.837671,Medio,8.7818696884,Medio
1402600010070,119.5399838,Medio,11.6040955631,Medio
