cve_ageb,POBTOT,POB0_14,POB15_64,POB65_MAS,P_15A17,P_18A24,VPH_AUTOM,VIVPAR_HAB
1901801050368,2976,769,2163,44,227,497,263,741
1901801050616,7322,2271,4935,113,505,828,1105,1945
1901801050620,5425,1726,3625,74,368,604,608,1518
1901801050724,3387,1144,2197,46,199,370,409,937
1901801050832,1982,659,1297,26,107,228,213,566
1901801050902,1071,366,689,16,59,105,129,302
1901801051012,525,164,353,8,33,68,40,150
1901801051027,2563,962,1574,27,87,239,314,729
1901801051116,473,182,286,5,13,55,49,128
1901801051154,2086,665,1398,23,98,275,209,639
1901801051262,4206,1459,2725,22,152,409,523,1276
1901801051351,723,237,483,3,19,70,68,249
190180105139A,1396,437,936,23,44,95,367,404
1901802120000,53461,14915,37102,1409,2306,4152,15246,14403
1901802120071,162,40,121,*,3,20,55,50
1901802120086,48,8,39,*,*,0,19,19
1901802120103,264,75,185,*,10,18,83,67
1901802120495,3685,956,2633,96,234,460,872,970
1901802120508,3965,872,2983,110,287,603,849,1089
1901802120601,3583,1112,2393,78,201,311,859,920
1901802120635,2100,585,1453,56,125,201,526,573
190180212064A,5135,1449,3479,205,215,393,1526,1331
1901802120739,1484,447,1000,37,59,127,406,431
1901802120743,930,312,600,18,54,58,220,217
1901802120758,966,305,642,16,42,89,248,251
1901802120828,3084,907,2079,97,122,227,899,841
1901802120870,1289,365,885,39,51,116,368,323
1901802120885,1035,367,652,16,38,44,273,286
1901802120940,5,*,*,*,*,*,*,*
1901802121031,1997,622,1303,72,47,113,579,531
1901802121065,1726,461,1226,37,65,122,530,491
1901802121120,2725,850,1822,53,114,177,774,775
1901802121258,0,0,0,0,0,0,0,0
1901802121277,381,100,267,14,14,17,120,115
1901802121281,1838,545,1256,37,72,105,555,526
1901802121296,1193,323,834,36,51,83,345,364
1901802121309,0,0,0,0,0,0,0,*
1901802121493,1858,512,1298,48,56,112,591,555
1901802121506,500,140,342,18,28,35,150,124
1901802121582,833,225,580,28,24,49,260,228
1901802121597,1505,394,1077,34,57,66,496,461
190180212160A,4067,1060,2919,88,125,226,1321,1034
1901802121614,1523,427,1057,39,53,82,486,343
1901802121629,2493,670,1770,53,73,125,807,654
1901802121633,336,102,215,19,18,15,95,62
1901802121718,19,0,0,0,0,0,0,0
1901802121722,2,*,*,*,*,*,*,*
1901802121737,1636,409,1183,44,34,96,554,481
