origin_zone,dest_zone,dist_km,observed_flow,modeled_flow_beta20,modeled_flow_calibrated
24A,32,15.04,154.00,77.19,139.47
49F,32,19.81,154.00,5.89,13.26
12F,06A,23.38,153.00,204.52,525.91
06A,12F,24.06,153.00,37.26,98.04
15,70A,22.35,152.00,219.82,545.25
01,63F,6.23,151.00,4.63,4.13
30F,32,17.37,151.00,111.24,225.60
20,40,11.10,151.00,44.25,62.75
06B,01,17.12,150.00,151.79,304.21
25,17,16.84,150.00,101.87,201.48
49F,68B,32.93,150.00,11.38,38.47
17,25,16.66,150.00,15.07,29.55
01,06B,15.13,150.00,414.21,752.22
63F,01,6.02,150.00,9.17,7.97
52,12F,27.50,150.00,36.79,107.71
12F,52,26.84,150.00,26.42,75.86
22,32,12.31,148.00,158.71,244.40
32,22,12.89,148.00,154.57,246.87
65A,32,17.99,147.00,39.36,82.08
39F,65A,21.90,147.00,344.06,839.52
39F,14F,30.60,147.00,26.88,85.69
05,23,16.63,147.00,119.99,234.97
23,05,18.32,147.00,291.89,617.71
37F,23,17.00,145.00,48.15,95.99
13,41,9.05,145.00,191.55,230.54
63F,69A,11.79,145.00,98.04,145.79
41,13,8.21,145.00,320.53,356.90
32,24A,14.08,144.00,57.36,98.34
68B,29F,23.52,144.00,51.02,131.80
29F,68B,23.00,144.00,118.46,300.64
01,43,17.19,144.00,598.11,1202.61
43,01,18.01,144.00,91.34,190.69
16,15,14.76,144.00,61.70,109.84
15,16,15.39,144.00,34.86,64.16
24A,14F,17.66,142.00,24.28,49.88
49F,09,21.44,141.00,13.36,32.06
43,26,16.78,141.00,202.39,399.27
09,49F,20.37,141.00,28.99,66.76
03,69B,37.84,140.00,64.52,243.81
39F,59,12.16,139.00,30.24,46.09
59,18,18.39,139.00,94.51,200.54
32,65A,18.95,139.00,141.70,308.01
59,39F,11.98,139.00,23.72,35.75
13,52,8.23,138.00,336.97,376.14
15,65A,13.09,138.00,330.24,534.14
52,13,8.11,138.00,161.70,178.35
65A,15,13.42,138.00,12.04,19.86
