origin_zone,dest_zone,dist_km,observed_flow,modeled_flow_beta20,modeled_flow_calibrated
07,32,6.99,1997.00,3386.25,3314.34
43,42,15.53,1984.00,906.07,1679.77
30,12F,8.61,1980.00,622.46,719.85
12F,30,8.49,1975.00,137.31,157.08
21B,23,7.27,1974.00,284.35,287.41
24B,08,17.21,1971.00,1049.68,2112.74
08,24B,16.71,1971.00,4137.20,8132.15
24B,37F,13.04,1966.00,633.96,1022.20
70A,21A,9.24,1964.00,4475.76,5476.57
29F,52,5.79,1964.00,468.75,394.61
37F,07,10.73,1962.00,3733.28,5152.03
70A,30,19.61,1962.00,126.18,281.90
65B,08,18.38,1948.00,429.13,910.53
65A,05,14.78,1941.00,131.73,234.80
42,05,12.13,1940.00,1410.55,2146.90
25,24A,3.96,1938.00,1340.76,834.18
06A,35,9.45,1936.00,542.92,676.62
05,06B,11.92,1935.00,2616.28,3926.91
35,06A,11.05,1926.00,3036.40,4289.12
43,09,11.50,1924.00,2439.70,3556.34
70B,32,13.61,1922.00,714.62,1192.49
05,16,5.75,1922.00,2045.75,1713.74
24B,70A,11.10,1916.00,7273.85,10306.95
54,04,8.65,1910.00,22.96,26.64
05,44,8.97,1910.00,3200.31,3826.14
30,21B,14.55,1902.00,2300.11,4047.68
43,44,16.35,1899.00,716.25,1383.83
06B,02F,13.57,1898.00,695.56,1157.70
02F,06B,17.13,1898.00,277.04,555.57
23,70B,12.93,1897.00,3751.82,6009.23
04,54,9.03,1897.00,7.88,9.47
08,06B,9.80,1893.00,4350.47,5584.15
70B,52,23.15,1877.00,330.51,843.06
21A,25,6.50,1872.00,409.02,378.14
07,69B,13.85,1871.00,3467.13,5866.83
30,21A,14.50,1862.00,1767.42,3102.62
70B,26,10.74,1861.00,539.41,744.90
06B,69A,8.96,1856.00,22662.36,27070.14
24B,06A,8.67,1856.00,16969.98,19739.70
23,21B,9.36,1855.00,3545.59,4385.43
18,45,10.69,1848.00,83.59,114.99
08,65B,19.76,1845.00,1070.35,2405.60
57,06B,5.15,1843.00,1461.31,1120.88
21B,37F,9.88,1835.00,502.64,649.20
46F,44,10.68,1832.00,544.43,748.28
07,24B,13.42,1829.00,5779.46,9533.42
44,05,8.86,1826.00,1748.02,2069.59
21B,44,12.30,1821.00,771.89,1187.44
70B,30F,19.45,1816.00,798.58,1772.32
12F,30F,8.20,1815.00,483.30,537.53
25,70B,13.79,1807.00,2519.80,4248.98
09,38,18.44,1805.00,471.54,1002.91
38,09,19.71,1805.00,1145.44,2569.11
06B,30,11.40,1804.00,972.97,1409.13
44,43,16.49,1803.00,949.61,1846.86
70A,44,11.87,1801.00,781.59,1169.24
44,70A,11.41,1801.00,2572.08,3728.04
30F,12F,7.84,1798.00,370.31,397.57
21B,30,11.00,1787.00,424.85,597.76
59,02F,5.95,1787.00,243.35,209.57
38,65B,24.77,1786.00,621.45,1673.30
65B,38,21.25,1786.00,144.94,345.29
22,57,3.49,1784.00,1098.85,617.45
06B,57,5.18,1774.00,3771.92,2906.50
12F,11F,6.46,1771.00,115.72,106.39
46F,70B,19.36,1767.00,1517.61,3356.38
45,60,5.88,1765.00,320.40,273.11
34,21B,8.73,1763.00,5331.72,6239.63
25,21A,7.22,1763.00,3475.59,3493.33
65B,21B,11.11,1757.00,4396.44,6235.63
60,45,6.14,1756.00,67.32,59.41
24B,07,12.21,1754.00,6851.33,10477.80
37F,21B,12.07,1751.00,3362.56,5097.48
65B,16,8.95,1740.00,392.19,467.95
26,70B,11.93,1738.00,2237.69,3359.40
40,07,7.81,1720.00,1622.06,1735.64
24B,34,10.34,1710.00,3986.70,5338.49
06B,35,7.32,1710.00,5171.33,5256.65
30F,21B,15.07,1704.00,1058.44,1916.17
65B,18,19.88,1703.00,500.00,1129.29
18,65B,21.44,1703.00,668.32,1603.71
30,06B,13.11,1700.00,901.51,1460.02
42,21B,15.06,1693.00,2901.70,5249.77
30F,17,8.80,1689.00,377.72,444.81
39F,37F,9.51,1681.00,426.45,533.96
06B,65A,13.49,1681.00,2842.74,4709.25
65A,06B,11.47,1681.00,220.98,321.49
41,68B,19.35,1680.00,1187.22,2624.38
17,30F,8.83,1671.00,385.75,455.30
11F,12F,8.71,1670.00,316.61,369.67
37F,39F,8.06,1668.00,292.84,321.41
70A,37F,13.88,1667.00,240.62,407.74
69A,30F,16.03,1662.00,396.16,753.24
30F,69A,17.96,1662.00,1041.52,2168.70
21B,30F,12.66,1661.00,1052.13,1656.32
68B,37F,20.48,1660.00,183.39,424.27
14F,15,6.69,1649.00,28.38,26.83
07,40,7.28,1647.00,514.47,520.56
21B,65B,10.76,1638.00,1454.05,2010.55
46F,63F,8.46,1637.00,2.37,2.71
21A,30F,12.75,1634.00,764.57,1211.08
43,02F,16.02,1629.00,332.47,632.01
68A,21A,9.86,1627.00,5338.96,6886.39
44,21B,11.57,1626.00,3248.95,4761.67
21A,22,8.45,1610.00,1095.59,1248.73
34,17,14.11,1608.00,248.80,427.15
45,18,12.69,1606.00,263.43,415.68
70A,61,16.59,1602.00,203.51,397.81
57,22,4.05,1601.00,1486.34,940.79
68A,30,21.72,1596.00,139.96,339.33
15,14F,7.11,1593.00,170.80,169.55
63F,46F,7.32,1578.00,3.03,3.08
25,65A,6.73,1577.00,2078.21,1975.00
35,70A,13.28,1572.00,1477.64,2416.83
65A,25,5.41,1570.00,137.92,110.11
34,21A,11.23,1565.00,2463.01,3523.99
22,68B,16.02,1554.00,500.50,951.37
21A,18,13.15,1549.00,822.81,1335.48
37F,70A,13.18,1548.00,2173.52,3533.69
70A,35,13.13,1541.00,617.03,1000.30
52,37F,11.34,1539.00,211.91,305.48
11F,43,17.09,1537.00,515.34,1031.30
21A,34,11.44,1536.00,1093.03,1587.45
37F,52,11.31,1530.00,714.68,1028.61
02F,43,19.70,1522.00,390.15,874.98
17,34,14.65,1517.00,161.24,285.28
35,06B,8.19,1507.00,1606.97,1785.72
09,43,13.91,1506.00,4074.28,6917.20
45,03,12.66,1502.00,55.59,87.52
61,70A,19.50,1488.00,1269.38,2823.02
65A,43,8.88,1481.00,685.72,813.50
22,21A,8.65,1476.00,1757.09,2041.20
43,41,17.34,1475.00,370.25,749.56
21A,42,19.52,1474.00,257.90,574.07
38,20,15.21,1468.00,152.80,278.63
07,65B,18.08,1464.00,1151.99,2411.48
24A,70B,13.89,1463.00,1309.97,2220.77
60,32,15.15,1453.00,155.87,283.35
07,52,15.19,1446.00,957.40,1743.85
13,07,10.99,1443.00,888.98,1250.26
68B,22,16.30,1441.00,626.04,1206.21
30F,21A,14.06,1437.00,928.53,1590.35
39F,06B,14.32,1435.00,645.10,1121.06
25,21B,9.88,1430.00,2429.47,3138.33
21B,25,8.43,1430.00,329.69,375.14
21B,42,15.24,1430.00,573.38,1047.12
68A,65A,12.06,1425.00,1855.10,2810.69
09,65B,17.08,1417.00,1450.06,2900.24
65B,09,15.41,1417.00,848.25,1562.79
11F,30F,11.62,1413.00,598.07,879.36
30F,11F,10.17,1413.00,110.08,145.50
70B,24A,15.24,1407.00,362.31,661.82
38,22,10.30,1405.00,2260.94,3019.45
69B,09,12.40,1402.00,712.55,1103.37
02F,11F,17.16,1400.00,41.04,82.43
60,10,2.89,1400.00,42.29,20.42
06A,02F,15.76,1399.00,90.15,169.10
16,65B,9.88,1398.00,1845.00,2381.97
45,49F,5.53,1397.00,34.54,28.03
06A,69B,9.53,1394.00,1410.19,1769.44
42,21A,18.90,1392.00,1407.46,3053.04
24B,44,13.49,1389.00,1408.12,2333.29
34,02F,11.74,1388.00,290.16,430.06
49F,45,5.77,1384.00,4.91,4.13
06B,39F,12.26,1381.00,336.67,516.67
02F,06A,19.72,1380.00,719.96,1615.77
65A,21B,7.85,1377.00,1482.55,1592.33
38,30F,11.41,1376.00,2931.94,4247.70
30F,38,10.63,1376.00,256.73,351.53
10,60,2.61,1371.00,28.40,12.65
68B,24A,15.42,1370.00,309.84,571.18
65B,06B,15.16,1369.00,751.72,1367.06
70A,16,6.86,1368.00,615.48,593.55
16,70A,9.85,1368.00,4486.89,5782.14
07,13,8.87,1367.00,545.20,645.67
59,11F,13.46,1359.00,22.92,37.90
69B,24A,10.65,1354.00,231.04,316.75
65B,07,16.60,1354.00,1727.57,3378.67
02F,18,14.88,1352.00,420.29,752.83
65A,68A,11.10,1348.00,222.92,315.87
05,02F,23.48,1345.00,208.33,537.43
43,23,7.88,1338.00,397.28,428.21
41,43,19.03,1335.00,977.02,2130.72
22,38,8.52,1324.00,286.41,328.56
11F,51F,6.29,1318.00,76.60,68.93
37F,30F,13.67,1316.00,834.71,1397.76
24A,69B,11.49,1316.00,532.40,775.81
11F,02F,15.45,1315.00,104.45,192.84
39F,06A,17.29,1311.00,1524.57,3079.68
02F,70B,24.63,1310.00,850.62,2279.96
51F,11F,6.85,1304.00,62.51,60.23
18,69B,17.27,1303.00,1822.17,3676.94
09,61,20.42,1299.00,357.34,824.57
30,68A,23.49,1295.00,265.41,684.95
44,24B,13.97,1294.00,1961.48,3341.02
44,01,5.43,1293.00,502.89,402.71
03,45,11.72,1292.00,11.83,17.51
61,09,21.03,1290.00,525.94,1242.64
18,09,8.50,1289.00,4962.76,5683.01
43,11F,16.95,1288.00,143.17,284.65
24A,69A,12.26,1285.00,1161.87,1782.89
11F,30,9.49,1281.00,273.42,341.91
06B,65B,15.96,1276.00,1627.27,3083.75
21A,68A,9.27,1276.00,1368.51,1678.83
21B,65A,8.71,1272.00,2769.03,3233.54
41,68A,15.48,1272.00,748.54,1384.02
39F,34,10.32,1270.00,1428.69,1910.90
44,09,12.25,1269.00,1076.37,1650.86
38,52,13.15,1264.00,1293.84,2099.87
52,38,13.37,1264.00,198.19,326.01
32,60,15.60,1257.00,49.99,93.02
20,38,14.53,1256.00,135.28,237.81
01,44,5.86,1251.00,1910.31,1625.61
43,17,16.04,1250.00,410.70,781.53
06A,57,7.51,1247.00,313.53,325.19
69A,24A,12.42,1243.00,183.98,285.24
16,09,10.13,1242.00,2047.00,2696.66
61,21A,15.39,1242.00,2020.24,3718.98
21A,61,11.97,1242.00,305.68,460.19
30,11F,7.91,1236.00,368.42,398.29
17,24B,17.90,1231.00,259.24,538.35
30,68B,22.28,1228.00,731.31,1809.36
09,44,13.87,1227.00,1523.02,2579.90
37F,02F,8.83,1225.00,617.27,728.91
50,38,28.98,1225.00,2.35,7.16
38,50,28.97,1225.00,2.80,8.54
06A,32,7.05,1218.00,640.13,631.10
16,43,16.99,1218.00,1162.50,2315.90
24B,17,17.66,1216.00,453.79,932.45
68B,30,20.15,1214.00,198.39,453.00
57,06A,7.63,1211.00,2293.06,2408.17
11F,59,12.19,1209.00,18.37,28.05
69B,18,16.07,1205.00,416.38,793.18
38,57,8.55,1205.00,1272.95,1464.32
24B,41,22.66,1197.00,290.19,727.73
03,70B,30.96,1197.00,346.19,1114.36
02F,34,13.97,1196.00,479.53,816.78
34,39F,8.20,1192.00,234.96,261.40
05,18,11.68,1192.00,3119.44,4604.86
39F,05,26.32,1190.00,189.27,535.01
30F,37F,14.00,1188.00,113.78,194.15
30,42,23.14,1184.00,228.70,583.26
42,30,22.67,1184.00,124.38,312.00
02F,37F,10.98,1183.00,196.36,275.93
65B,37F,20.99,1179.00,114.12,269.25
20,70A,12.75,1179.00,1122.23,1776.55
12F,24B,18.74,1171.00,255.33,550.09
68B,23,10.32,1169.00,221.41,296.05
09,69B,13.77,1166.00,3940.49,6636.37
68A,41,14.12,1163.00,436.93,750.85
38,60,19.19,1163.00,308.78,678.09
23,43,8.07,1162.00,2827.01,3106.65
07,44,17.24,1159.00,878.11,1769.65
24B,09,14.11,1154.00,2168.06,3723.10
65A,69A,7.73,1152.00,2131.08,2262.51
24B,12F,18.48,1152.00,322.33,686.86
02F,05,26.92,1149.00,111.15,319.94
39F,68A,26.42,1147.00,179.02,507.61
70B,02F,22.86,1146.00,178.40,450.56
57,38,6.75,1146.00,321.85,306.64
23,68B,12.58,1142.00,1463.29,2292.61
69A,18,13.02,1135.00,686.37,1105.44
09,16,10.12,1134.00,752.03,989.65
69A,65A,7.83,1131.00,2069.74,2219.28
14F,24B,16.30,1114.00,176.73,340.65
07,30,18.38,1113.00,340.19,721.54
18,02F,12.21,1110.00,636.61,973.94
09,18,8.30,1110.00,7019.16,7889.20
65B,42,24.43,1104.00,228.59,608.89
03,42,18.56,1101.00,120.03,256.58
43,65A,10.84,1093.00,2934.73,4081.37
37F,68B,20.67,1092.00,855.62,1993.45
09,52,20.00,1091.00,620.39,1407.90
52,09,19.44,1091.00,288.52,640.13
65B,41,22.19,1090.00,141.11,348.04
52,07,16.31,1080.00,968.73,1868.24
24A,68B,15.57,1074.00,384.37,714.21
18,40,9.92,1073.00,226.27,293.17
68A,06A,9.76,1072.00,7833.82,10017.04
32,52,10.88,1071.00,201.97,281.82
65B,34,19.75,1066.00,509.56,1144.93
08,35,11.82,1063.00,1999.62,2981.02
35,08,11.24,1063.00,715.30,1024.38
32,02F,9.85,1063.00,129.82,167.25
18,21A,15.10,1059.00,3237.32,5867.79
39F,21B,17.67,1058.00,1330.57,2735.47
60,38,18.40,1057.00,91.35,193.93
18,69A,13.64,1056.00,7248.35,12115.97
70A,01,6.58,1053.00,393.98,367.64
09,34,13.71,1053.00,2589.59,4346.41
26,46F,5.96,1052.00,73.95,63.73
44,07,14.76,1049.00,1754.39,3122.38
52,32,10.77,1048.00,353.50,489.17
65B,01,11.77,1048.00,133.62,198.51
17,43,15.47,1047.00,233.90,432.42
42,65B,24.21,1043.00,357.29,944.67
68B,25,13.73,1042.00,195.02,327.66
41,21B,16.29,1041.00,2246.12,4327.22
60,13,8.34,1039.00,133.44,150.49
13,60,8.27,1039.00,170.03,190.38
32,38,8.22,1037.00,228.99,255.21
14F,42,33.43,1037.00,12.02,41.15
70A,22,14.63,1035.00,467.56,826.59
61,69A,14.80,1035.00,3997.12,7129.67
34,68B,17.31,1029.00,1012.19,2046.68
38,69B,20.57,1028.00,1593.07,3697.13
43,52,19.11,1026.00,444.13,971.82
41,24B,21.27,1026.00,1158.84,2762.87
69B,23,5.99,1022.00,233.46,202.12
42,60,13.63,1022.00,336.28,561.72
01,65B,11.79,1022.00,681.38,1013.71
46F,26,8.82,1019.00,237.53,280.21
40,70A,8.70,1016.00,1147.42,1338.06
42,03,16.52,1016.00,184.40,359.15
23,69B,8.20,1015.00,2598.81,2891.06
18,05,12.30,1014.00,2014.12,3099.39
41,69A,16.70,1011.00,2983.94,5864.31
42,14F,33.45,1008.00,35.61,121.93
25,18,17.87,1008.00,270.72,561.45
69B,06A,9.72,1005.00,3422.90,4364.05
52,43,20.04,1000.00,433.68,986.04
37F,65B,22.46,999.00,308.95,769.43
22,70A,13.56,996.00,721.29,1200.07
32,43,9.50,994.00,842.32,1054.30
60,42,13.60,994.00,348.78,581.42
09,02F,20.20,994.00,320.07,732.28
38,32,9.42,993.00,1887.08,2345.10
17,68A,28.76,992.00,34.32,104.16
02F,65B,33.11,991.00,74.09,251.62
07,65A,17.24,991.00,1580.53,3185.49
20,70B,15.65,991.00,1953.04,3643.01
68A,17,29.89,985.00,92.66,289.99
68B,34,18.20,983.00,918.35,1932.61
37F,17,14.14,981.00,298.32,513.17
65A,34,14.90,981.00,150.62,270.14
34,65A,15.46,981.00,675.54,1247.95
17,37F,14.12,981.00,43.90,75.44
21B,41,15.63,980.00,277.44,517.14
32,34,4.83,978.00,2010.21,1465.71
69B,25,8.92,971.00,164.36,195.56
59,38,10.18,969.00,102.08,135.04
30,07,18.24,964.00,1285.00,2708.93
34,09,13.17,962.00,870.96,1415.10
61,05,17.95,961.00,613.39,1277.07
24B,02F,20.91,959.00,261.34,614.68
02F,24B,24.05,959.00,388.21,1021.04
70A,40,7.42,949.00,209.26,214.96
65B,02F,30.16,949.00,58.63,184.78
41,21A,19.90,947.00,1149.73,2599.16
25,69B,9.60,945.00,1446.61,1826.30
18,39F,16.81,939.00,132.79,262.25
06A,68A,9.53,935.00,754.72,946.74
09,06B,10.16,931.00,4103.39,5417.27
16,69B,9.67,931.00,3402.46,4318.91
18,65A,20.01,928.00,957.42,2174.12
43,32,8.79,923.00,1570.91,1847.08
30F,39F,9.01,923.00,115.10,138.05
02F,32,12.36,920.00,233.44,360.55
23,24A,5.02,918.00,1095.33,822.86
12F,37F,18.62,914.00,27.26,58.43
25,68B,13.96,914.00,908.00,1545.84
37F,12F,18.54,914.00,134.99,288.37
26,68A,8.71,906.00,625.14,729.70
09,24B,15.47,905.00,4881.93,9024.41
69A,61,11.30,903.00,280.60,403.44
69A,42,15.97,903.00,315.43,597.89
37F,30,10.43,902.00,436.94,589.48
30,37F,10.71,902.00,393.45,542.01
42,35,10.09,901.00,1376.54,1807.59
70A,65A,13.49,901.00,1090.74,1806.60
30,02F,16.87,894.00,168.08,332.98
22,25,5.58,889.00,244.87,200.37
69B,16,8.45,889.00,239.17,272.61
34,65B,18.78,885.00,366.83,791.73
07,34,9.34,884.00,4973.52,6138.92
57,07,10.34,883.00,998.79,1337.84
69B,42,20.42,882.00,178.08,410.88
69B,34,15.00,878.00,480.21,866.12
16,24B,15.39,878.00,2100.05,3865.70
24A,65A,9.37,876.00,565.05,699.55
25,22,5.92,875.00,1358.21,1163.94
07,57,11.78,871.00,661.60,983.69
24A,23,4.47,868.00,177.78,121.76
02F,09,22.88,868.00,181.09,457.65
06B,17,17.90,867.00,495.25,1028.47
06B,60,19.81,866.00,315.24,710.00
60,06B,20.35,866.00,197.09,453.56
57,21A,8.68,866.00,1234.17,1436.82
05,39F,24.94,866.00,72.94,197.48
06A,41,11.03,865.00,239.95,338.35
02F,30,19.17,862.00,67.48,148.03
30F,69B,17.36,857.00,448.65,909.32
69B,30F,16.00,857.00,367.09,696.94
11F,18,21.64,857.00,197.34,476.94
41,06A,13.22,855.00,3743.03,6099.97
24B,14F,15.99,854.00,275.26,522.47
32,70A,9.96,849.00,995.57,1293.70
30F,70A,19.67,849.00,478.50,1071.77
68A,26,8.36,846.00,638.87,721.93
01,70A,8.92,846.00,2885.66,3432.91
41,06B,13.95,843.00,976.03,1660.57
13,06A,14.97,843.00,598.79,1078.02
39F,30F,9.61,841.00,1432.05,1809.21
29F,60,6.34,839.00,198.65,179.87
35,42,9.50,838.00,941.83,1179.25
68B,35,21.12,838.00,396.10,938.93
05,24A,18.75,835.00,295.01,635.81
24A,05,19.53,835.00,103.37,230.23
60,29F,9.41,833.00,98.49,122.28
44,63F,4.56,831.00,12.63,8.79
32,06A,7.80,830.00,2310.50,2469.88
70A,32,10.37,830.00,649.53,871.63
42,69A,16.42,828.00,3411.18,6611.08
07,45,14.66,824.00,54.45,96.42
63F,44,4.78,824.00,94.25,68.07
21B,57,6.34,824.00,1023.55,926.70
65A,24A,8.03,818.00,125.70,137.50
57,21B,7.31,817.00,2279.27,2312.71
07,60,17.58,814.00,363.43,744.02
69B,14F,13.20,814.00,102.54,166.93
29F,70B,16.79,814.00,602.22,1188.43
21A,57,8.39,814.00,431.03,488.36
45,07,16.21,811.00,389.51,747.21
12F,39F,9.31,809.00,45.72,56.28
39F,12F,10.36,809.00,366.78,491.90
11F,70B,25.97,807.00,759.78,2124.84
65A,70A,12.44,803.00,454.34,705.27
52,21B,21.57,802.00,631.41,1522.28
21B,52,20.30,802.00,239.70,550.60
63F,68B,7.51,800.00,129.08,133.81
18,29F,5.12,800.00,1252.63,956.44
68B,63F,7.15,800.00,9.78,9.76
54,35,17.40,798.00,93.55,189.91
06B,41,13.22,796.00,955.63,1557.50
01,21B,12.09,795.00,2038.43,3093.41
54,52,9.73,786.00,262.21,334.53
39F,22,10.85,785.00,707.40,984.39
69A,34,13.40,781.00,651.91,1074.33
08,16,12.99,780.00,450.77,724.43
34,69A,12.41,780.00,3690.14,5717.31
30F,34,12.85,778.00,533.20,849.88
38,08,18.27,776.00,959.54,2026.02
21B,01,15.17,774.00,78.52,142.87
35,68B,21.72,774.00,534.64,1296.12
16,06A,12.90,772.00,3728.01,5958.86
05,26,12.89,771.00,461.72,737.42
70A,52,19.99,767.00,233.39,529.58
52,70A,20.07,765.00,561.30,1277.72
41,65B,24.23,763.00,323.05,854.76
21A,12F,22.03,763.00,76.24,186.92
70A,60,25.88,763.00,70.82,197.54
15,24B,19.16,762.00,341.77,749.37
24B,15,18.78,762.00,78.37,169.12
12F,21A,21.96,760.00,161.54,395.03
38,42,17.41,759.00,994.12,2019.76
38,69A,18.83,756.00,4720.36,10208.46
60,07,19.40,755.00,597.60,1323.85
03,18,23.37,753.00,109.52,281.56
63F,70B,11.99,752.00,137.02,206.58
09,60,22.00,747.00,260.55,638.26
60,09,22.03,747.00,196.08,480.74
38,35,8.27,742.00,3727.22,4176.12
24A,11F,15.32,741.00,25.22,46.25
60,49F,10.03,741.00,23.06,30.14
43,35,10.81,738.00,1581.61,2195.03
42,69B,20.28,738.00,900.10,2065.51
35,43,11.97,738.00,1401.20,2109.11
38,59,10.40,738.00,119.14,160.30
39F,18,17.46,738.00,496.70,1011.10
08,20,7.84,736.00,630.03,676.46
37F,65A,19.25,736.00,524.79,1155.41
05,61,16.26,735.00,494.99,952.28
35,54,13.86,735.00,21.41,36.26
34,35,6.39,734.00,2122.69,1933.89
60,70A,23.15,733.00,368.13,939.30
20,68B,22.09,731.00,361.62,888.72
34,07,9.28,730.00,4142.40,5090.06
08,65A,19.87,730.00,1319.88,2980.55
17,70B,24.78,725.00,310.64,836.80
16,37F,21.88,725.00,109.55,267.17
34,32,5.30,724.00,2025.20,1588.52
65B,15,8.71,723.00,169.97,198.43
41,20,7.45,722.00,317.10,326.71
42,37F,11.95,720.00,427.49,642.69
11F,21B,21.97,720.00,525.50,1285.73
51F,30,15.30,719.00,25.67,47.05
35,38,7.35,715.00,755.26,769.96
70B,14F,20.64,713.00,134.83,313.79
43,40,17.24,712.00,67.37,135.78
11F,24A,16.05,710.00,87.41,166.38
42,44,22.31,708.00,291.62,722.27
15,44,11.62,706.00,233.07,342.57
44,15,10.73,706.00,89.74,123.83
22,37F,10.17,705.00,154.34,204.06
37F,22,10.72,705.00,853.56,1177.00
30,65B,21.27,703.00,342.16,815.89
13,70B,17.95,703.00,767.26,1597.08
15,65B,9.41,698.00,512.70,636.61
17,51F,9.40,696.00,12.76,15.84
49F,60,9.62,695.00,16.98,21.46
52,54,8.58,694.00,48.57,56.03
68B,40,18.04,694.00,58.78,122.85
21B,32,9.89,693.00,755.08,976.20
35,21B,13.81,693.00,1773.73,2993.90
57,30F,8.72,691.00,510.10,595.92
08,52,17.04,691.00,844.60,1686.27
22,39F,9.77,691.00,70.08,89.71
45,09,17.99,688.00,133.75,278.85
09,45,18.03,688.00,40.44,84.49
14F,70B,19.98,687.00,270.24,612.94
16,46F,11.28,687.00,74.07,106.34
57,70A,10.98,686.00,776.77,1091.76
20,41,8.35,686.00,435.41,491.34
37F,60,16.96,685.00,161.68,321.67
16,08,13.37,684.00,846.38,1391.96
32,08,8.66,684.00,457.31,531.35
08,32,9.71,684.00,1943.95,2476.40
51F,17,9.19,683.00,89.24,108.79
22,69A,12.00,683.00,1672.14,2521.95
15,70B,19.59,681.00,750.82,1675.94
12F,22,13.46,680.00,112.71,186.39
22,12F,13.55,680.00,88.91,147.79
34,68A,16.93,678.00,426.67,847.64
06A,52,17.11,678.00,145.23,290.96
52,06A,18.36,678.00,955.72,2025.56
68A,34,17.04,678.00,858.46,1714.07
29F,18,6.03,677.00,840.69,731.97
02F,70A,22.28,676.00,395.95,979.80
70A,02F,19.48,676.00,129.48,287.71
26,05,13.07,673.00,290.94,469.99
45,70B,23.09,673.00,441.52,1124.14
18,60,14.39,673.00,442.70,772.32
11F,22,14.43,671.00,243.93,426.49
43,14F,20.93,670.00,120.07,282.57
05,17,30.05,669.00,157.48,494.90
37F,42,12.54,667.00,784.63,1225.72
40,43,17.48,666.00,218.89,445.97
40,68B,15.81,666.00,336.03,632.05
40,18,9.90,665.00,418.77,541.67
23,70A,14.70,665.00,1106.44,1963.61
59,43,20.69,663.00,121.53,283.43
22,11F,13.56,663.00,44.39,73.83
46F,65A,18.05,663.00,343.13,717.47
34,69B,14.65,660.00,1065.13,1885.12
42,38,16.77,658.00,282.52,556.84
52,08,16.22,658.00,298.65,573.17
21A,35,15.20,658.00,359.91,655.87
39F,69A,21.47,658.00,1258.95,3023.95
65A,07,14.63,655.00,374.42,661.70
46F,16,12.81,654.00,99.40,157.98
35,34,6.35,653.00,3070.11,2785.56
06B,69B,11.72,653.00,5335.56,7898.19
60,43,25.00,653.00,243.21,659.86
69B,06B,10.48,653.00,856.22,1158.74
24B,57,6.22,652.00,2334.87,2082.41
32,29F,3.87,651.00,291.23,177.70
30,69B,18.10,650.00,835.74,1751.14
38,21A,16.99,650.00,3168.72,6313.85
69B,30,15.30,650.00,122.43,224.24
22,65B,15.34,650.00,232.83,427.53
22,18,13.61,647.00,338.94,565.39
08,38,17.32,645.00,528.28,1068.60
42,49F,13.23,644.00,34.03,55.51
21B,11F,19.21,643.00,67.90,149.23
02F,21A,25.48,642.00,300.38,827.38
14F,69B,13.28,638.00,170.20,278.52
22,17,12.43,636.00,135.78,210.67
49F,42,13.69,636.00,22.20,37.21
18,44,21.08,635.00,479.32,1134.61
06B,61,21.72,634.00,309.64,750.70
14F,43,20.34,633.00,76.58,176.18
02F,08,20.13,631.00,168.49,384.37
08,02F,18.07,631.00,395.25,827.20
29F,32,5.39,630.00,404.54,321.63
65B,22,16.06,629.00,421.10,802.10
70A,57,12.05,628.00,267.46,404.70
40,21B,14.33,628.00,548.93,954.25
70A,30F,19.24,627.00,430.02,946.12
68A,57,16.06,627.00,204.65,389.82
37F,16,22.72,627.00,54.96,138.13
30,65A,16.54,626.00,706.75,1377.76
20,06A,12.34,626.00,1703.87,2629.09
17,06B,18.47,626.00,88.17,187.74
26,69A,10.16,625.00,2132.49,2815.81
35,21A,17.15,621.00,878.02,1762.51
16,61,11.07,620.00,517.48,731.92
42,06B,11.43,617.00,1605.35,2328.87
68B,14F,14.46,616.00,240.37,420.88
02F,04,15.17,616.00,14.31,26.04
30,51F,13.88,615.00,30.18,51.15
60,34,18.97,614.00,260.89,567.65
44,42,21.39,613.00,239.30,573.05
40,05,7.03,612.00,719.25,707.64
60,06A,22.35,612.00,562.69,1395.67
46F,68A,15.29,611.00,362.20,663.29
68A,46F,13.05,611.00,66.58,107.37
34,25,11.81,611.00,129.26,192.48
25,34,13.11,611.00,505.73,818.92
32,42,7.98,610.00,506.41,551.30
42,32,9.11,609.00,1108.12,1340.83
06B,68A,12.91,608.00,2352.31,3761.71
68A,06B,12.30,608.00,1431.71,2203.02
49F,70B,26.98,606.00,45.90,132.37
11F,09,27.36,606.00,125.77,366.73
09,11F,29.33,606.00,73.15,225.48
61,21B,17.91,605.00,1952.95,4058.81
20,08,8.22,605.00,936.33,1044.01
46F,24B,23.17,604.00,461.19,1177.54
15,46F,7.47,604.00,42.53,43.94
14F,21A,15.31,603.00,174.10,319.10
21B,61,17.24,603.00,199.58,402.30
52,20,8.68,602.00,115.11,134.00
20,52,8.60,602.00,597.57,690.66
04,02F,17.11,602.00,17.73,35.52
46F,70A,22.02,601.00,447.29,1096.36
30,06A,15.11,600.00,2338.06,4240.97
21A,02F,22.45,599.00,76.19,189.65
21A,14F,14.96,597.00,105.63,190.10
21B,17,18.66,596.00,185.11,397.41
34,30F,11.17,596.00,1038.24,1478.94
51F,59,8.39,594.00,9.47,10.73
69A,26,8.57,594.00,285.69,329.27
69A,22,12.14,594.00,434.03,661.08
59,51F,8.25,594.00,15.38,17.20
14F,68B,14.44,593.00,190.97,334.09
44,18,18.38,593.00,469.36,995.52
32,21B,10.73,592.00,1113.18,1535.76
50,03,11.00,586.00,10.31,14.51
65A,37F,16.81,586.00,29.93,59.13
