stop_id,stop_name,stop_lat,stop_lon
P610,Miguel De Cervantes,21.896242,-102.277978
P611,Parque Vía,21.898299,-102.275367
P612,Normal Superior Federal,21.89989,-102.273205
P613,Zona Militar,21.902242,-102.270113
P614,Humberto Brand,21.902982,-102.269274
P615,José Calvillo,21.903462,-102.26763
P616,Guadalupe Rivera,21.904348,-102.264884
P617,Genaro Barbosa,21.90537,-102.261778
P618,Plaza Guadalupe,21.906346,-102.258715
P619,Pedro Quintanar,21.90758,-102.256122
P620,Sierra Cucharas,21.908964,-102.255072
P621,Puliducto,21.911892,-102.252739
P622,Ma. Del Carmen,21.91437,-102.251282
P623,Parque Palomino Dena,21.915508,-102.249748
P624,Primaria Héroes Mexicanos,21.916214,-102.248852
P625,Humberto González,21.917359,-102.245905
P626,Efraín González,21.918924,-102.244271
P627,De La Cueva,21.928683,-102.239136
P628,Del Campo,21.928397,-102.237578
P629,Berro,21.925246,-102.240702
P630,Peiston,21.92396,-102.243588
P631,Guadalupano,21.922661,-102.24209
P632,Carpintero,21.912466,-102.245414
P633,Maya,21.911785,-102.243089
P634,Nazca 212,21.910976,-102.240029
P635,Nazca 204,21.909667,-102.238415
P636,Primaria José Refugio,21.907607,-102.23891
P637,Olmeca,21.906607,-102.240095
P638,Limbo,21.905629,-102.241368
P639,Sabinal,21.901908,-102.240806
P641,Damiana,21.902018,-102.23779
P642,Rodolfo,21.906998,-102.238667
P643,Tlapaneca,21.908975,-102.237429
P644,Nazca 205,21.910097,-102.238573
P645,Ictea,21.911239,-102.240541
P646,Chalca 402,21.911836,-102.242904
P647,Chalca 107,21.912034,-102.244138
P648,Otomí,21.912708,-102.245654
P649,Calandrias,21.914152,-102.245554
P650,Florida,21.922821,-102.24203
P651,Parraleña,21.924555,-102.24345
P652,Primaria La Florida,21.925994,-102.242489
P653,Guadalupano,21.925113,-102.240729
P654,Palomino,21.917412,-102.245851
P655,Roberto Jefkins,21.91768,-102.248122
P656,Rivas Cuéllar,21.916431,-102.248887
P657,Biblioteca Palomino Dena,21.915308,-102.250149
