cve_ageb,n_intersections,n_intersection_density,n_street_density,p_poi_density,p_employment_proxy,p_retail_density,p_service_density,p_land_use_mix,pe_population,pe_pop_density,pe_dep_ratio,pe_youth_share,pe_marginacion,pe_rezago,v_ridership_annual,n_intersections_n,n_intersection_density_n,n_street_density_n,p_poi_density_n,p_employment_proxy_n,p_retail_density_n,p_service_density_n,p_land_use_mix_n,pe_population_n,pe_pop_density_n,pe_dep_ratio_n,pe_youth_share_n,pe_marginacion_n,pe_rezago_n,v_ridership_annual_n
1407001111359,378.9222657802619,64.34529041551617,52184.906787349675,357.4738356417565,100.0,185.8863945337134,42.89686027701078,1.2290383902301556,2000,14298.953425670261,0.5048908954100828,0.218,120.8919147,37.5,0.0,0.8888264243168982,0.7113115084084208,0.8574605104422303,0.6422686054585752,0.49141491559492917,0.5839007607797733,0.6040623557910898,0.8434137274596539,0.7759777577716613,0.898293918232024,0.16829696513669426,0.2482236135957066,0.268427013084924,0.46875,0.0
1407000210740,177.101360090944,12.880098915705018,38352.459943704016,19.32014837355753,0.0,12.880098915705018,3.2200247289262545,0.8675632284814612,409,1316.9901141308383,0.6294820717131474,0.17603911980440098,116.1197103,26.8817204301,0.0,0.7754609394500735,0.4476589784544793,0.8331504050748735,0.32885275332463854,0.0,0.2936478421028614,0.22998146292557425,0.5953554764090454,0.6141503814296267,0.6744578635686915,0.2098273572377158,0.200445258954385,0.459500466898737,0.33602150537625,0.0
1407000431039,150.78156124832662,26.8056108885914,40126.7452518978,211.09418574765726,80.0,120.62524899866129,20.10420816644355,1.1328496806224113,1259,4218.533013592071,0.5428921568627451,0.19301032565528198,117.2953302,26.4984227129,0.0,0.7515327543852804,0.5658990396848105,0.8367202012974511,0.5849603706546465,0.46791797799195844,0.5359477499528922,0.4870830482737539,0.7774053108351662,0.7287605317830073,0.7837041413561726,0.1809640522875817,0.2197693600708175,0.4124300282005854,0.33123028391125,0.0
1407001111378,72.54369397101412,24.181231323671373,5532.351830832652,386.89970117874196,135.0,193.44985058937098,0.0,0.6931471805599453,0,0.0,0.0,0.0,121.52193575,15.1394422311,0.0,0.6431128765794111,0.5490272811470924,0.68032399131655,0.6508831139713724,0.5230961742410409,0.5883296509969291,0.0,0.4756644315437017,0.0,0.0,0.0,0.0,0.24320171091662124,0.18924302788875,0.0
1407000210721,226.35528316676937,88.76677771245858,53041.04444357129,62.136744398721,0.0,44.38338885622929,0.0,0.7963116401738131,632,2805.030175713691,0.46296296296296297,0.1930379746835443,119.2719472,23.3918128655,0.0,0.8119959642548992,0.765349653136223,0.8587450092132525,0.45264591194926174,0.0,0.42589931200574765,0.0,0.5464598778991236,0.6584865995021648,0.7454033566286037,0.15432098765432098,0.21980084237222888,0.33328860729726073,0.29239766081875,0.0
1407000140346,199.94681762458652,48.96656758153139,46037.82152735981,195.86627032612557,60.0,85.69149326767993,8.161094596921899,1.0917193478065714,1948,7948.906137401929,0.4635612321562735,0.19815195071868583,119.5193715,21.8934911243,0.0,0.7935199971889485,0.6656460862518166,0.8475675115517578,0.5768247198130702,0.4377230725854981,0.49814978833181955,0.3537897928662811,0.7491800840337743,0.7732898343770327,0.8431743246591686,0.15452041071875783,0.2256238222405072,0.3233820292054954,0.27366863905375,0.0
1407000140223,136.35745789475948,46.87287615132357,40078.76576515646,899.1069879935702,100.0,426.1170559211233,25.5670233552674,1.0377075007929313,2129,9072.032120560716,0.5003523608174771,0.17144199154532644,118.9654356,21.9101123596,0.0,0.7365908578166251,0.6583613933941868,0.8366257621113575,0.7427997532903388,0.49141491559492917,0.676172492046418,0.523851923331663,0.7121150634625096,0.7823554167089899,0.8555809042617725,0.16678412027249237,0.19521078285975005,0.3455609714160308,0.273876404495,0.0
1407000130401,25.09449595269813,1.730654893289526,9856.729165460545,57.11161147855436,845.0,13.845239146316208,1.730654893289526,1.1411020146415831,520,449.97027225527677,0.543026706231454,0.1596153846153846,119.636263,13.3928571429,0.0,0.48806786394845547,0.17095590782563141,0.7259072222066998,0.4435895688619594,0.7177259488846433,0.301152217101523,0.1604523821237253,0.7830683819407387,0.6386088614852388,0.5737696589696178,0.18100890207715134,0.18174453006742808,0.3187018309670302,0.16741071428625,0.0
1407000011058,74.49660690460098,6.208050575383416,18941.964079598652,68.28855632921757,0.0,49.664404603067325,0.0,0.5859526183035508,1176,7300.667476650897,0.5412844036697247,0.17006802721088435,119.1061689,29.9120234604,0.0,0.6470345097330336,0.33614526600613326,0.7774671547467099,0.4627985081206493,0.0,0.43818767538028475,0.0,0.40210337272344704,0.7218042667747205,0.8351887024334831,0.18042813455657492,0.19364633152008567,0.33992617553477844,0.373900293255,0.0
1407000010100,135.770665307312,79.69147746298746,44223.17051030514,563.743414645578,450.0,230.21982378196378,38.369970630327295,1.154094788279052,2763,8155.094527045717,0.4660609299839658,0.17987694534925805,122.1889476,14.1909814324,0.0,0.7359502464580189,0.7472112081061253,0.8443931708567308,0.6918994121461917,0.6507449146438345,0.6076640227746676,0.5866777601730202,0.79198452624569,0.808953979770483,0.8455782832638743,0.1553536433279886,0.2048151622805058,0.2164953406039325,0.17738726790499998,0.0
1407000140276,59.30845623661108,20.33432785255237,16420.69440613459,99.1298482811928,830.0,31.34875543935157,4.236318302615077,1.1371161036976951,3007,2547.721827192707,0.49008919722497524,0.21050881277020286,118.4742744,22.1614227086,0.0,0.6134242052655682,0.5208140808267971,0.7661926132924602,0.5030027648992844,0.7158210801125382,0.38810338438212083,0.26444697675210116,0.7803330955304605,0.8175898866251995,0.7363736034374333,0.1633630657416584,0.2396938449521183,0.3652264884385914,0.2770177838575,0.0
1407000210736,171.44536376368382,37.27073125297475,40578.771540307105,296.3023134611492,315.0,128.58402282276288,11.181219375892423,1.105486474044395,2541,4735.246405690441,0.47246376811594204,0.1778827233372688,120.7452683,17.816091954,0.0,0.77063186565168,0.6202635951717969,0.8376044325777193,0.6218375678729716,0.6128675434919894,0.5430236488989647,0.3993007555782381,0.7586276190733234,0.8004067596965949,0.7945497939286074,0.157487922705314,0.20254446047257885,0.27429856253853935,0.22270114942500002,0.0
1407000430492,101.0544651173497,11.228273901927743,42312.035961092784,134.73928682313291,80.0,61.75550646060259,11.228273901927743,1.2380167995379123,1333,7483.644555634841,0.5572429906542056,0.2010502625656414,117.0302779,29.5454545455,0.0,0.6921373063968549,0.4260958906686601,0.8409060207816862,0.5362272998472115,0.46791797799195844,0.4620798500469547,0.3999165722933063,0.8495750595393585,0.7345864602721259,0.8375124329275369,0.18574766355140185,0.2289239572862804,0.4230424106882873,0.36931818181875,0.0
1407000430806,181.20049637001924,27.180074455502886,44441.11964616703,135.90037227751444,20.0,45.30012409250481,6.040016545667308,1.180504817501159,819,2473.386775450763,0.5027522935779817,0.21245421245421245,116.3108456,25.0,0.0,0.7788658643783596,0.5681756321132803,0.8447812400018695,0.5371573580033039,0.3241786929076167,0.4281318194069614,0.3117248684367178,0.810108110802202,0.6849092718687696,0.7335946610051648,0.16758409785932724,0.24190895568355317,0.4518476341917518,0.3125,0.0
