codigo_act,per_ocu,cve_ent,cve_mun,cve_loc,ageb
236211,11 a 30 personas,19,019,0001,0134
238210,11 a 30 personas,19,039,0001,1578
236221,0 a 5 personas,19,019,0001,0172
236211,31 a 50 personas,19,039,0001,0828
238330,0 a 5 personas,19,046,0001,138A
238330,0 a 5 personas,19,039,0001,2203
238390,0 a 5 personas,19,026,0001,0181
238190,6 a 10 personas,19,039,0001,1031
236221,11 a 30 personas,19,006,0001,0206
238222,6 a 10 personas,19,026,0001,1300
236111,6 a 10 personas,19,019,0001,0384
238910,0 a 5 personas,19,039,0001,1703
236111,11 a 30 personas,19,026,0001,0482
237212,0 a 5 personas,19,039,0001,1722
237212,0 a 5 personas,19,039,0001,1722
236221,11 a 30 personas,19,039,0001,1722
236211,31 a 50 personas,19,046,0001,0146
236111,0 a 5 personas,19,019,0001,0079
237212,6 a 10 personas,19,039,0001,5176
236111,6 a 10 personas,19,039,0001,2256
236112,51 a 100 personas,19,039,0001,1421
236111,101 a 250 personas,19,019,0001,0149
236111,0 a 5 personas,19,039,0001,1436
236111,51 a 100 personas,19,019,0001,0083
236221,0 a 5 personas,19,039,0001,1008
236111,0 a 5 personas,19,039,0001,1506
