cve_ent,cve_mun,cve_loc,ageb,codigo_act,per_ocu
15,106,0001,0415,221312,0 a 5 personas
15,090,0001,0150,221312,0 a 5 personas
15,051,0001,0468,221312,0 a 5 personas
15,051,0024,0383,221312,0 a 5 personas
15,106,0001,0631,221312,0 a 5 personas
15,005,0032,0145,221311,0 a 5 personas
15,051,0001,0275,221312,0 a 5 personas
15,051,0086,0487,221312,0 a 5 personas
15,106,0051,2746,221312,6 a 10 personas
15,106,0001,2055,221312,6 a 10 personas
15,106,0001,0504,221311,0 a 5 personas
15,051,0021,0078,221312,0 a 5 personas
15,051,0017,0400,221312,0 a 5 personas
15,051,0001,0186,221311,51 a 100 personas
15,076,0001,0109,221111,11 a 30 personas
15,051,0002,0171,221312,251 y mÃ¡s personas
15,106,0083,1521,221311,6 a 10 personas
15,051,0022,035A,221312,0 a 5 personas
15,051,0028,0415,221312,0 a 5 personas
15,062,0001,0207,221312,11 a 30 personas
15,118,0001,0505,221121,11 a 30 personas
15,054,0038,1082,221122,0 a 5 personas
15,054,0038,1082,221122,0 a 5 personas
15,106,0001,0415,221121,11 a 30 personas
15,106,0112,2483,221122,0 a 5 personas
15,106,0001,0491,221121,11 a 30 personas
15,062,0023,0033,221312,0 a 5 personas
15,106,0001,0542,237111,11 a 30 personas
15,106,0001,0491,238330,0 a 5 personas
15,106,0001,1930,236211,6 a 10 personas
15,051,0001,0256,238222,11 a 30 personas
15,106,0079,448A,238390,11 a 30 personas
15,051,0001,0468,238290,0 a 5 personas
15,106,0088,2479,238190,0 a 5 personas
15,118,0001,0149,238390,0 a 5 personas
15,106,0080,380A,238190,0 a 5 personas
15,106,0233,4418,238190,0 a 5 personas
15,051,0001,0186,237131,11 a 30 personas
15,076,0001,0185,238990,0 a 5 personas
15,115,0001,0058,237312,6 a 10 personas
15,054,0049,1241,236111,0 a 5 personas
15,051,0026,0345,238110,11 a 30 personas
15,106,0001,0449,236113,0 a 5 personas
15,106,0001,2089,237213,0 a 5 personas
15,106,0219,3443,237212,51 a 100 personas
15,054,0038,1010,238130,6 a 10 personas
15,054,0038,1097,238210,0 a 5 personas
15,054,0037,0934,236211,101 a 250 personas
15,054,0037,0934,236211,0 a 5 personas
15,106,0075,4189,238350,0 a 5 personas
15,054,0038,1006,236221,0 a 5 personas
15,106,0066,4761,238190,0 a 5 personas
15,118,0054,0897,237312,0 a 5 personas
15,106,0233,4456,238210,11 a 30 personas
15,054,0037,0991,236211,11 a 30 personas
15,054,0055,0506,238221,0 a 5 personas
15,087,0017,0314,236111,0 a 5 personas
15,018,0001,0139,238350,0 a 5 personas
15,067,0005,0218,238350,0 a 5 personas
15,106,0001,0379,238350,0 a 5 personas
15,106,0090,4367,238990,0 a 5 personas
15,106,0001,0415,238330,0 a 5 personas
15,106,0001,1926,236221,0 a 5 personas
15,106,0001,3227,236111,0 a 5 personas
15,076,0001,0109,236111,0 a 5 personas
15,054,0034,0883,236112,101 a 250 personas
15,118,0081,0539,237312,31 a 50 personas
15,106,0129,1305,236221,0 a 5 personas
15,054,0109,0313,236113,11 a 30 personas
15,106,0001,2017,237312,11 a 30 personas
15,054,0034,0864,236211,51 a 100 personas
15,054,0034,0883,236111,51 a 100 personas
15,055,0001,0043,237312,11 a 30 personas
15,106,0075,4174,236211,101 a 250 personas
15,115,0001,0058,237312,6 a 10 personas
15,106,0001,195A,236221,11 a 30 personas
15,106,0001,0453,236211,6 a 10 personas
15,106,0064,494A,237111,31 a 50 personas
15,106,0001,0542,236221,0 a 5 personas
15,106,0075,416A,237131,51 a 100 personas
15,054,0037,0915,236211,6 a 10 personas
15,106,0001,1983,236221,11 a 30 personas
15,054,0037,0915,236211,31 a 50 personas
15,106,0001,0557,236211,101 a 250 personas
15,076,0001,0062,237993,31 a 50 personas
15,106,0001,0519,237312,51 a 100 personas
15,106,0080,3848,238130,0 a 5 personas
15,054,0038,1059,237111,31 a 50 personas
15,054,0038,103A,237111,51 a 100 personas
15,054,0037,0915,236221,0 a 5 personas
15,106,0001,3388,236221,0 a 5 personas
15,054,0055,0506,236111,6 a 10 personas
15,106,0204,1447,236111,11 a 30 personas
15,106,0001,2089,236111,6 a 10 personas
15,106,0001,0449,236111,31 a 50 personas
15,106,0092,4085,236221,11 a 30 personas
15,106,0001,0453,236111,6 a 10 personas
15,106,0001,0519,237312,11 a 30 personas
15,106,0001,1697,237131,6 a 10 personas
15,054,0037,092A,237312,51 a 100 personas
15,106,0087,3960,236211,6 a 10 personas
15,076,0001,0147,237212,0 a 5 personas
15,106,0043,4884,238190,0 a 5 personas
15,054,0049,1129,238390,0 a 5 personas
15,054,0037,0915,236111,6 a 10 personas
15,054,0034,0883,236111,0 a 5 personas
15,106,0059,1339,237312,31 a 50 personas
15,106,0101,1447,236211,6 a 10 personas
15,106,0001,0538,238910,11 a 30 personas
15,054,0034,0883,236221,51 a 100 personas
15,051,0001,0241,236111,11 a 30 personas
15,018,0001,0139,236211,0 a 5 personas
15,054,0001,0510,236221,0 a 5 personas
15,054,0034,0830,236222,6 a 10 personas
15,106,0233,4418,238390,0 a 5 personas
15,106,0084,3509,238210,0 a 5 personas
15,076,0001,0306,236211,11 a 30 personas
15,106,0075,4117,238190,0 a 5 personas
15,106,0001,2036,238350,0 a 5 personas
15,106,0086,4282,238340,0 a 5 personas
15,054,0049,1241,236111,0 a 5 personas
15,118,0060,0810,236221,101 a 250 personas
15,106,0235,455A,238190,31 a 50 personas
15,054,0001,0563,236111,0 a 5 personas
15,054,0049,1241,236212,11 a 30 personas
15,106,0001,0595,236222,6 a 10 personas
15,076,0001,0414,238210,31 a 50 personas
15,106,0086,4244,236111,51 a 100 personas
15,106,0090,4348,236221,11 a 30 personas
15,051,0001,0260,236211,6 a 10 personas
15,054,0038,1025,236111,6 a 10 personas
15,054,0049,1218,236112,31 a 50 personas
15,106,0001,0523,236111,6 a 10 personas
15,089,0001,0126,237212,31 a 50 personas
15,054,0049,1241,238210,0 a 5 personas
15,076,0001,0185,237312,101 a 250 personas
15,106,0001,3246,237212,6 a 10 personas
15,106,0046,4850,236111,6 a 10 personas
15,054,0035,0811,237311,11 a 30 personas
15,054,0034,0883,236221,31 a 50 personas
15,106,0075,4174,236221,11 a 30 personas
15,051,0001,0186,238990,11 a 30 personas
15,106,0001,0307,238110,0 a 5 personas
15,106,0049,5100,237993,51 a 100 personas
15,106,0001,0487,237312,31 a 50 personas
15,106,0082,2182,238210,6 a 10 personas
15,076,0001,0414,238222,11 a 30 personas
15,118,0001,0149,238312,0 a 5 personas
15,054,0034,0826,238390,0 a 5 personas
15,076,0001,0325,238210,51 a 100 personas
15,106,0090,4333,237131,0 a 5 personas
15,106,0064,4954,236221,0 a 5 personas
15,018,0038,0088,236112,251 y mÃ¡s personas
15,106,0086,4282,238990,6 a 10 personas
15,076,0001,0306,238222,11 a 30 personas
15,106,0001,0576,238190,6 a 10 personas
15,106,0079,2271,238290,0 a 5 personas
15,051,0001,0186,236221,6 a 10 personas
15,106,0083,1589,237312,11 a 30 personas
15,106,0070,4780,236112,6 a 10 personas
15,106,0086,4225,236221,6 a 10 personas
15,106,0001,0487,236113,0 a 5 personas
15,106,0043,4884,236221,0 a 5 personas
15,106,0001,0576,237999,0 a 5 personas
15,076,0001,0306,236211,11 a 30 personas
15,106,0086,4263,236211,6 a 10 personas
15,106,0001,0345,237212,0 a 5 personas
15,054,0034,0883,236111,11 a 30 personas
15,106,0087,3960,236211,11 a 30 personas
15,106,0001,0468,237111,31 a 50 personas
15,106,0086,4259,237212,11 a 30 personas
15,106,0001,0504,236221,11 a 30 personas
15,054,0041,0756,236211,6 a 10 personas
15,106,0001,0449,236221,6 a 10 personas
15,054,0034,0883,236211,101 a 250 personas
15,106,0001,3231,236221,0 a 5 personas
15,067,0005,0218,238190,0 a 5 personas
15,018,0001,0139,238190,0 a 5 personas
15,054,0049,1218,238190,0 a 5 personas
15,106,0083,1589,238190,0 a 5 personas
15,106,0083,1589,238190,0 a 5 personas
15,106,0083,1517,238190,0 a 5 personas
15,106,0080,380A,238190,0 a 5 personas
15,051,0001,0275,238190,0 a 5 personas
15,106,0073,0294,238190,0 a 5 personas
15,090,0001,0199,238190,0 a 5 personas
15,054,0038,1078,237111,6 a 10 personas
15,051,0001,0241,237111,0 a 5 personas
15,106,0070,4795,237111,6 a 10 personas
15,106,0090,430A,238210,0 a 5 personas
15,051,0001,0472,236113,6 a 10 personas
15,054,0034,0826,236211,6 a 10 personas
15,106,0090,4333,238210,11 a 30 personas
15,076,0001,0414,238210,0 a 5 personas
15,106,0064,4973,238390,0 a 5 personas
15,106,0001,3208,236211,11 a 30 personas
15,106,0001,3246,237212,0 a 5 personas
15,106,0001,2055,236111,6 a 10 personas
15,106,0075,4174,236211,6 a 10 personas
15,118,0001,0399,236211,31 a 50 personas
15,054,0038,1010,236111,11 a 30 personas
15,054,0037,0934,236111,0 a 5 personas
15,076,0001,0414,236111,0 a 5 personas
15,106,0001,0487,236111,101 a 250 personas
15,106,0001,0491,238130,0 a 5 personas
15,106,0082,2182,238210,11 a 30 personas
15,106,0075,416A,238221,0 a 5 personas
15,054,0037,092A,238210,0 a 5 personas
15,106,0001,0400,238221,0 a 5 personas
15,106,0086,4263,238210,0 a 5 personas
15,106,0082,2182,238330,0 a 5 personas
15,106,0086,4225,236111,11 a 30 personas
15,076,0001,0147,237111,101 a 250 personas
15,106,0064,4973,236222,11 a 30 personas
15,076,0001,0077,236111,0 a 5 personas
