cve_ent,cve_mun,cve_loc,ageb,codigo_act,per_ocu
01,001,0001,2583,312112,6 a 10 personas
01,001,0001,2719,312112,0 a 5 personas
01,001,0001,3613,312112,0 a 5 personas
01,001,0001,0873,312112,0 a 5 personas
01,001,0001,2070,312112,0 a 5 personas
01,001,0001,2761,312112,0 a 5 personas
01,001,0001,2121,312112,0 a 5 personas
01,001,0239,419A,312112,0 a 5 personas
01,001,0001,2846,312112,0 a 5 personas
01,001,0001,2973,312112,0 a 5 personas
01,001,0001,0591,312112,0 a 5 personas
01,001,0001,2808,312112,6 a 10 personas
01,001,0001,3045,312112,11 a 30 personas
01,001,0001,0303,312112,0 a 5 personas
01,001,0001,1373,312112,0 a 5 personas
01,001,0001,2013,312112,0 a 5 personas
01,001,0001,2136,312112,0 a 5 personas
01,005,0050,0035,312112,0 a 5 personas
01,001,0001,0500,312112,0 a 5 personas
01,001,0001,1636,312112,0 a 5 personas
01,001,0001,0572,312112,0 a 5 personas
01,001,0001,2719,312112,0 a 5 personas
01,011,0128,0136,312112,0 a 5 personas
01,001,0001,0549,312112,31 a 50 personas
01,005,0245,0603,312112,6 a 10 personas
01,005,0001,0247,312112,0 a 5 personas
01,001,0001,2333,312112,0 a 5 personas
01,001,0001,2329,312112,0 a 5 personas
01,001,0001,3261,312112,0 a 5 personas
01,001,0001,3825,312112,0 a 5 personas
01,001,0001,3079,312112,0 a 5 personas
01,001,0001,3242,312112,0 a 5 personas
01,001,0001,255A,312112,0 a 5 personas
01,001,0001,1477,311222,11 a 30 personas
01,001,0001,1439,311812,6 a 10 personas
01,005,0245,0603,311910,0 a 5 personas
01,001,0001,0642,311340,0 a 5 personas
01,001,0001,198A,314991,0 a 5 personas
01,001,0001,1477,311110,51 a 100 personas
01,001,0001,159A,311513,0 a 5 personas
