cve_ageb,productions,attractions
1403900012357,7299.499999999999,8479.938761845133
1403900011912,7127.249999999999,20047.729039693935
1403900014673,10318.0,8927.815715489944
1403900013603,11429.749999999998,6940.403954369226
1403900012249,8103.25,17563.12657286797
1403900010399,8845.250000000002,20468.58475933303
1403900014762,5924.249999999999,2035.374451480872
1403900012183,2371.75,80058.51211214773
1403900015046,11085.999999999998,567.4459141201236
1403900010204,6874.499999999999,4603.742743724574
1403900011113,4950.5,23784.090171834894
1403900010191,7061.25,13550.473323018523
1403900015493,9394.25,947.0942519004919
1403900011679,4696.0,7182.243998720422
1403900015101,12185.000000000002,4760.465900957752
1403900011594,574.5,24267.09472968714
1403900012272,5974.5,3849.174784114838
1403900012342,5145.75,7103.882420103832
1403900010350,9682.999999999998,60007.40541820307
1403900010990,5614.25,5392.087245841461
1403900012287,7834.500000000001,12011.614046392759
1403900014885,7901.250000000002,1568.582634032056
1403900010948,2426.5,18671.67269795264
1403900015277,13071.75,2171.1561523596156
1403900013533,4686.25,610.6798885292759
1403900014847,11236.0,2831.8253237994736
1403900010793,14741.25,4228.147591045064
1403900015559,6646.75,8346.183653516819
1403900015116,11010.0,2056.991438685448
1403900014086,6139.499999999999,6701.941564268745
1403900014175,11941.0,2561.6129837422723
1403900011363,3108.75,55892.07147913188
1403900011490,14057.75,2402.1877031085232
1403900010238,12402.0,5426.539319198753
1403900011344,2959.0000000000005,23690.866914515158
1403900015262,14589.499999999998,1827.9864804869696
1403900014368,7698.250000000001,2219.118842719769
1403900011630,980.0,53196.027856211156
1403900015224,17373.0,5608.257117887222
1403900012179,1929.25,55288.82242995418
1403900011787,1280.5,20421.297599823018
1403900012709,14244.25,8338.077283315102
1403900014705,5521.5,4249.089047399497
1403900015582,7.5,0.0
1403900014851,7451.250000000001,3413.4573857726004
1403900013961,5110.500000000001,22439.78378005032
1403900015385,11540.749999999998,7881.418428618431
1403900015629,10994.25,432.33974409152273
1403900010702,4653.75,3662.052738625226
1403900011895,4915.0,6192.5913032609205
1403900010596,4495.0,31277.753892471243
1407000201236,9332.5,5029.327179314667
1403900015671,10031.0,7044.435705291248
1403900013980,3270.5000000000005,34287.24382985833
1403900010755,7525.750000000001,5158.3535716919805
1403900010933,5392.0,43754.13316376239
1403900015614,6732.25,303.9888825643519
1403900011715,12134.500000000002,3877.5470798208444
1403900010632,8597.75,7685.51448207696
1403900010806,13502.25,7845.6152935608525
1403900011024,5672.250000000001,2244.11348417506
1403900014423,16451.000000000004,10128.909567044208
1403900011096,5063.0,18830.422447736244
1403900010223,7483.999999999999,4637.519286231724
1403900011306,1561.5,25901.879387033216
1403900013340,18400.25,6000.065010970165
1403900010384,6130.999999999999,8825.135026268208
1403900012107,1556.2499999999998,19705.910429521577
1403900010312,6033.500000000001,26826.681120878984
1403900010863,12138.750000000002,26821.952404927986
1403900011378,3917.0,61207.823738907195
1407000200613,1167.7499999999998,91.87219561944859
1403900015563,8191.0,5279.273593867579
1403900014283,14255.750000000002,4809.77965301819
1403900010365,6195.999999999999,27533.28639012857
1403900011768,5916.5,55280.71605975247
1403900013798,14579.750000000002,3982.2543615930103
1403900010473,14858.75,1560.4762638303398
1403900012056,8402.5,12134.560661118785
1403900014457,4623.5,9791.144141972705
1403900011221,7770.249999999999,3097.3089479056744
1403900015474,8612.0,493.8130514545361
1403900013552,4649.25,2917.6177417676354
1403900011791,1030.25,20661.111051623786
1403900013529,7656.0,10134.31381384535
1403900011876,2311.9999999999995,4287.594305857649
1403900012662,5107.75,27321.169703183667
1403900011166,6143.75,14396.237947397563
1403900012291,9045.5,19136.437922851026
1403900014866,6845.25,17017.29764595242
1407000131433,4235.0,1149.0779760932503
1403900013891,9276.499999999998,1921.885268656847
1403900013904,8778.0,3942.398041434573
1403900015258,9585.0,964.6580540042102
1403900011537,19664.75,18250.141447463404
1403900013641,2213.75,16218.144650233247
1403900013637,2372.7500000000005,557.3129513679785
1403900015050,6359.250000000001,1539.5348074759067
1403900012592,9382.25,84639.96233781757
1403900015351,3108.4999999999995,13758.53682486257
1403900013482,11346.5,576.2278151719826
1403900015597,7508.0,395.1855473336575
1403900014118,9341.999999999998,2316.3952851403615
1403900013942,8739.0,616.0841353304199
1403900014495,11061.5,1128.1365197388172
1403900010083,13001.249999999998,1917.1565527058463
1403900014071,6075.0,9493.910567909783
1403900014777,6789.0,1434.1519948535981
1403900010030,8699.5,110479.01735578748
1403900010026,3644.4999999999995,6678.297984513741
1407000131448,9632.5,8327.944320562956
1403900013143,6737.999999999999,36365.17672489821
1403900011043,5548.999999999999,56483.83650385716
1403900011274,6837.0,30717.738817702688
1403900015648,4274.0,3152.026946767258
1403900011753,5489.5,46227.25160613593
1403900014599,8333.5,4684.130914891592
1403900012677,4302.499999999999,13057.33580241413
1403900013321,2338.7500000000005,28518.88590048721
1403900014584,5813.250000000001,60699.149008749504
1403900010562,10556.250000000002,9705.351724004542
1403900014508,6094.75,3291.186301896717
1403900015065,12119.500000000002,2677.128759116726
1404400010280,3926.7499999999995,1039.6419783700835
1404400050276,589.0,17.56380210371811
1404400100242,6504.499999999999,2913.5645566667777
1404400020115,5013.75,1234.194863211269
1404400020149,41.25,0.0
1404400010308,227.25,0.0
1412000010706,11165.75,21537.27456425926
1404400010331,289.5,15.537209553289097
1404400020172,296.25,0.0
1404400100223,8904.75,416.12700368809067
1404400010100,4969.499999999999,1594.25280633749
1404400020168,147.25,0.0
1404400020346,228.5,3.3776542507150213
1404400010064,721.25,24.31911060514815
1412000014342,5908.5,3957.259720137719
1404400010312,476.50000000000006,6.755308501430042
1404400010327,432.0,255.3506613540556
1404400010098,8458.000000000002,4292.9985526587925
1404400010079,332.75000000000006,1508.4603883693287
