CVEGEO,CVE_MUN,CVE_LOC,POB_TOTAL,IM_2020,GM_2020,IMN_2020,has_conapo
140390001521A,039,0001,3418.0,122.515817621329,Bajo,0.957047629368851,True
1403900013745,039,0001,3343.0,122.160172029999,Bajo,0.954269459360389,True
1403900013656,039,0001,3096.0,123.922166562916,Muy bajo,0.968033499983296,True
1403900011471,039,0001,4458.0,120.692921439101,Medio,0.942807847896884,True
1403900011931,039,0001,1639.0,122.471818674868,Bajo,0.956703926096713,True
1403900015313,039,0001,2173.0,120.874036488738,Medio,0.944222650754701,True
1403900010280,039,0001,2440.0,125.435821623044,Muy bajo,0.979857605760846,True
1403900012111,039,0001,2316.0,122.215021636136,Bajo,0.954697923917408,True
1403900011414,039,0001,3951.0,121.516455344848,Bajo,0.94924098598062,True
140390001069A,039,0001,1975.0,123.327675805201,Bajo,0.963389561091167,True
1403900013995,039,0001,4225.0,123.731072209142,Muy bajo,0.966540742543356,True
1403900013694,039,0001,1439.0,123.80733041587,Muy bajo,0.967136443060931,True
1403900014230,039,0001,4112.0,119.624149961658,Medio,0.934459005856055,True
1403900015296,039,0001,3129.0,123.277058987671,Bajo,0.962994161491644,True
1403900010543,039,0001,3991.0,120.440351794791,Medio,0.940834868537726,True
140390001553A,039,0001,3719.0,118.922830789902,Medio,0.92898056344926,True
1403900011062,039,0001,1023.0,125.639940776219,Muy bajo,0.981452108050007,True
1403900012380,039,0001,1603.0,121.491451329143,Bajo,0.949045663985312,True
1403900013567,039,0001,2867.0,123.178407648686,Bajo,0.962223534221276,True
1403900011575,039,0001,449.0,125.63799394099,Muy bajo,0.981436900103168,True
1403900010153,039,0001,3944.0,124.646067201294,Muy bajo,0.973688340340316,True
1403900014067,039,0001,2600.0,121.554738324662,Bajo,0.949540038264542,True
1403900014828,039,0001,5053.0,120.816010250903,Medio,0.943769371541943,True
1403900010276,039,0001,7097.0,120.536930909458,Medio,0.941589308368707,True
1403900013001,039,0001,2282.0,121.908026042184,Bajo,0.952299789446915,True
1403900011518,039,0001,2605.0,119.71625143294,Medio,0.935178468015824,True
1403900014226,039,0001,4502.0,120.477380093532,Medio,0.941124119723556,True
1403900011005,039,0001,1664.0,123.293300896903,Bajo,0.963121037196579,True
1403900012431,039,0001,1033.0,123.225540542177,Bajo,0.962591718712529,True
1403900010416,039,0001,1597.0,121.907029638712,Bajo,0.952292005916598,True
1403900014531,039,0001,657.0,123.535002545764,Bajo,0.9650091198503,True
1403900010897,039,0001,7285.0,121.758451636154,Bajo,0.951131370270647,True
140390001471A,039,0001,3040.0,122.381181186143,Bajo,0.955995900019752,True
1403900014635,039,0001,2896.0,120.873616939559,Medio,0.944219373393826,True
1403900015135,039,0001,3361.0,121.264968570268,Bajo,0.947276465593769,True
1403900012304,039,0001,4087.0,123.230733456914,Bajo,0.962632283815346,True
1403900015309,039,0001,755.0,124.27369789831,Muy bajo,0.970779530967052,True
1403900010149,039,0001,3170.0,124.447526532336,Muy bajo,0.972137415078187,True
1403900012516,039,0001,1807.0,119.495532687047,Medio,0.933454295932455,True
1403900012605,039,0001,444.0,122.453562553458,Bajo,0.956561316121476,True
1403900015578,039,0001,5104.0,120.088358364524,Medio,0.93808522784209,True
1403900015366,039,0001,,,,,False
140390001172A,039,0001,4658.0,121.135117369723,Medio,0.946262116703433,True
1403900011382,039,0001,2849.0,122.404828883177,Bajo,0.956180626962164,True
1403900013711,039,0001,3070.0,123.4299307823,Bajo,0.964188338631276,True
1403900015370,039,0001,1587.0,124.560840614395,Muy bajo,0.973022582199579,True
1403900013618,039,0001,2845.0,120.199355962396,Medio,0.938952299457593,True
1403900010327,039,0001,1331.0,123.4986644073,Bajo,0.964725259937779,True
1403900011289,039,0001,1719.0,125.110386973994,Muy bajo,0.977315432305744,True
1403900014993,039,0001,3081.0,122.011189122863,Bajo,0.95310566075169,True
1403900010524,039,0001,5163.0,120.67042011529,Medio,0.942632075992254,True
1403900013957,039,0001,1171.0,124.411364523458,Muy bajo,0.971854931023951,True
1403900013815,039,0001,5972.0,119.62825447159,Medio,0.93449106874864,True
1403900015667,039,0001,5008.0,124.707403953791,Muy bajo,0.974167480052313,True
1403900011908,039,0001,3317.0,122.579953185431,Bajo,0.957548632347677,True
1403900013834,039,0001,3120.0,124.171166366735,Muy bajo,0.969978593087074,True
1403900011236,039,0001,3834.0,120.637846807502,Medio,0.94237762552533,True
1403900011984,039,0001,2146.0,121.453747376591,Bajo,0.948751134845251,True
1403900014546,039,0001,462.0,122.654258697449,Bajo,0.95812907914636,True
1403900014620,039,0001,2986.0,121.901195471221,Bajo,0.952246431587709,True
1403900011039,039,0001,2707.0,121.50271701147,Bajo,0.949133667271526,True
1403900013336,039,0001,6612.0,123.653459921234,Bajo,0.965934464451311,True
1403900012130,039,0001,1943.0,124.948487953162,Muy bajo,0.97605073785981,True
1403900011147,039,0001,3002.0,123.094522975814,Bajo,0.961568258609763,True
1403900012037,039,0001,2760.0,120.823494935786,Medio,0.943827839093837,True
1403900014461,039,0001,2681.0,126.06542782963,Muy bajo,0.984775853372851,True
1403900014279,039,0001,3870.0,119.750602288627,Medio,0.935446804020434,True
